City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
196,Grindavik,IS,63.8424,-22.4338,48.67,93,100,11.5,overcast clouds
197,Narkanda,IN,31.2548,77.4613,47.5,90,1,1.59,clear sky
198,Kristiansund,NO,63.1115,7.732,63.25,45,0,8.05,clear sky
199,Nantucket,US,41.2835,-70.0995,69.91,58,0,16.11,clear sky
200,Morro Bay,US,35.3658,-120.8499,63.14,1,4,4.47,clear sky
201,Hualmay,PE,-11.0964,-77.6139,63.99,72,52,7.67,broken clouds
202,Thinadhoo,MV,0.5333,72.9333,80.15,75,100,9.31,overcast clouds
203,Yerbogachen,RU,61.2767,108.0108,26.13,84,60,4.7,broken clouds
204,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,94,100,17.27,overcast clouds
205,Tuatapere,NZ,-46.1333,167.6833,53.29,96,94,1.45,overcast clouds
206,Tamala,RU,52.541,43.2515,56.12,87,54,6.51,broken clouds
207,Chillicothe,US,39.3331,-82.9824,54.84,87,100,3.44,overcast clouds
208,Tiksi,RU,71.6872,128.8694,31.21,86,100,10.45,light snow
209,Newport,GB,51.5877,-2.9984,60.69,77,100,8.23,overcast clouds
210,Pirajui,BR,-21.9986,-49.4572,65.37,88,100,6.58,overcast clouds
211,Talnakh,RU,69.4865,88.3972,22.01,79,36,2.35,scattered clouds
212,Cascais,PT,38.6979,-9.4215,73.26,82,75,32.99,broken clouds
213,Cayenne,GF,4.9333,-52.3333,87.84,66,75,6.91,broken clouds
214,Nome,US,64.5011,-165.4064,41.07,76,0,14.97,clear sky
215,Hongjiang,CN,27.11,109.9956,73.15,62,69,3.44,broken clouds
216,Kavaratti,IN,10.5669,72.642,81.82,73,92,15.37,overcast clouds
217,Lagoa,PT,39.05,-27.9833,68.5,69,59,16.15,broken clouds
218,Ulverstone,AU,-41.15,146.1667,56.19,81,90,4.0,overcast clouds
219,Valdivia,CL,-39.8142,-73.2459,50.09,62,53,5.21,broken clouds
220,Mitchell,US,43.7094,-98.0298,54.1,46,0,10.36,clear sky
221,Yong Peng,MY,2.0136,103.0659,75.16,92,89,2.64,overcast clouds
222,Athabasca,CA,54.7169,-113.2854,39.61,59,4,4.09,clear sky
223,Nizwa,OM,22.9333,57.5333,91.6,28,36,6.58,scattered clouds
224,Udachnyy,RU,66.4167,112.4,20.64,97,91,5.48,overcast clouds
225,Kapit,MY,2.0167,112.9333,75.6,96,100,0.18,overcast clouds
226,Cap Malheureux,MU,-19.9842,57.6142,70.47,65,11,5.99,few clouds
227,Kota Kinabalu,MY,5.9749,116.0724,79.88,94,20,0.0,few clouds
228,Tabuk,PH,17.4189,121.4443,73.29,95,100,3.11,overcast clouds
229,Mahebourg,MU,-20.4081,57.7,71.89,64,40,12.66,scattered clouds
230,Presidente Medici,BR,-11.1753,-61.9014,99.66,30,5,5.17,clear sky
231,Placido De Castro,BR,-10.3353,-67.1856,100.15,30,29,4.54,scattered clouds
232,Yarim,YE,14.298,44.3779,65.98,41,81,2.24,light rain
233,Aguimes,ES,27.9054,-15.4461,75.67,65,20,20.71,few clouds
234,Band,RO,46.5833,24.3833,63.57,55,20,3.44,few clouds
235,Kologriv,RU,58.8275,44.3178,34.2,96,100,14.92,light snow
236,Nador,MA,35.174,-2.9287,86.07,47,20,13.8,few clouds
237,San Patricio,US,28.017,-97.5169,78.91,47,0,9.73,clear sky
238,Tanete,ID,-3.9443,119.7848,75.47,94,83,2.68,broken clouds
239,Uyovu,TZ,-3.2833,31.5258,86.11,22,98,6.17,overcast clouds
240,Zarubino,RU,42.63,131.0922,61.99,80,49,7.31,scattered clouds
241,Beroroha,MG,-21.6667,45.1667,85.93,16,0,6.44,clear sky
242,Lingao,CN,19.9103,109.6859,78.89,88,98,14.2,overcast clouds
243,Upernavik,GL,72.7868,-56.1549,32.11,98,100,8.23,overcast clouds
244,Pilar,BR,-9.5972,-35.9567,82.33,56,67,10.11,broken clouds
245,Grand Gaube,MU,-20.0064,57.6608,72.0,65,15,3.0,few clouds
246,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,29,0,12.66,clear sky
247,Aswan,EG,24.0934,32.907,108.7,9,0,6.91,clear sky
248,Chokurdakh,RU,70.6333,147.9167,20.91,83,34,5.88,scattered clouds
249,Merauke,ID,-8.4667,140.3333,78.91,88,100,10.98,overcast clouds
250,Oxford,GB,51.7522,-1.256,61.03,54,0,8.05,clear sky
251,Clyde River,CA,70.4692,-68.5914,30.43,74,20,2.3,few clouds
